Country,Year,Phase,Fatalities,Cause
United States of America,1918,Takeoff,2,Technical failure
United Kingdom,1918,Takeoff,5,Technical failure
Egypt,1918,Flight,1,Other
United States of America,1918,Flight,1,Technical failure
France,1918,Landing,0,Other
United Kingdom,1918,Landing,1,Other
United Kingdom,1918,Flight,2,Other
United Kingdom,1918,Flight,7,Technical failure
Portugal,1918,Flight,2,Other
United Kingdom,1918,Landing,0,Other
United Kingdom,1918,Flight,0,Weather
United Kingdom,1918,Takeoff,0,Technical failure
France,1918,Flight,2,Other
United States of America,1918,,0,Other
United States of America,1918,,0,Other
United States of America,1918,Flight,1,Other
United Kingdom,1918,Flight,1,Other
United States of America,1918,Flight,0,Technical failure
United States of America,1918,,0,Other
United States of America,1918,,0,Other
United States of America,1918,,0,Technical failure
United States of America,1918,Takeoff,1,Human factor
United Kingdom,1918,Flight,0,Other
Greece,1918,Flight,1,Weather
United Kingdom,1918,Landing,2,Other
United Kingdom,1919,Takeoff,0,Other
France,1919,Flight,1,Other
United States of America,1919,Flight,0,Technical failure
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Landing,0,Weather
United States of America,1919,Flight,0,Weather
France,1919,Flight,0,Technical failure
France,1919,Landing,0,Technical failure
United States of America,1919,Flight,0,Weather
France,1919,Flight,2,Technical failure
United Kingdom,1919,Takeoff,5,Other
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,1,Other
United States of America,1919,,0,Other
United States of America,1919,,0,Other
Slovakia,1919,Landing,4,Other
United States of America,1919,Flight,0,Other
France,1919,Flight,2,Other
United States of America,1919,Flight,0,Other
Italy,1919,Landing,2,Other
Belgium,1919,Landing,0,Other
United Kingdom,1919,Flight,2,Other
United Kingdom,1919,Flight,1,Other
United States of America,1919,Takeoff,1,Technical failure
United Kingdom,1919,Takeoff,0,Technical failure
United States of America,1919,,0,Other
Ireland,1919,Landing,0,Other
United States of America,1919,Flight,0,Technical failure
United States of America,1919,Flight,0,Other
United Kingdom,1919,Takeoff,0,Other
United States of America,1919,Flight,0,Weather
United Kingdom,1919,Takeoff,3,Human factor
United States of America,1919,Flight,1,Weather
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Landing,0,Other
United States of America,1919,Flight,0,Human factor
Italy,1919,Flight,14,Technical failure
United States of America,1919,Landing,0,Other
United Kingdom,1919,Landing,1,Other
United Kingdom,1919,Takeoff,1,Other
Czech Republic,1919,Flight,0,Other
United Kingdom,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
Mexico,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
United Kingdom,1919,Flight,0,Other
United Kingdom,1919,Flight,0,Other
United Kingdom,1919,Takeoff,0,Weather
United Kingdom,1919,Landing,0,Other
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
United States of America,1919,Landing,0,Other
United States of America,1919,Landing,0,Other
United States of America,1919,Takeoff,0,Other
United Kingdom,1919,Landing,1,Technical failure
United States of America,1919,Landing,0,Other
United Kingdom,1919,Flight,1,Weather
United States of America,1919,Landing,0,Other
United States of America,1919,Flight,1,Human factor
United States of America,1919,Flight,0,Human factor
United Kingdom,1919,,0,Other
United States of America,1919,Landing,0,Other
United Kingdom,1919,Landing,0,Other
United Kingdom,1919,Flight,0,Other
United States of America,1919,Takeoff,0,Technical failure
United States of America,1919,Flight,0,Human factor
United States of America,1919,Landing,0,Other
United States of America,1919,Landing,0,Other
United States of America,1919,Flight,1,Weather
United Kingdom,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,0,Other
United Kingdom,1919,Takeoff,0,Other
Greece,1919,Flight,0,Technical failure
United Kingdom,1919,Landing,0,Other
Greece,1919,Flight,2,Other
United Kingdom,1919,Flight,2,Other
France,1919,Flight,1,Other
United Kingdom,1919,Landing,0,Other
United Kingdom,1919,Flight,0,Other
United States of America,1919,,0,Other
United States of America,1920,Flight,0,Technical failure
United Kingdom,1920,Flight,0,Technical failure
United Kingdom,1920,Flight,0,Other
United States of America,1920,Landing,0,Other
Germany,1920,Flight,4,Other
Sudan,1920,Landing,0,Technical failure
United States of America,1920,Flight,3,Other
United States of America,1920,Landing,0,Other
South Africa,1920,Flight,0,Technical failure
Sudan,1920,Flight,0,Technical failure
Malaysia,1920,Takeoff,1,Other
United States of America,1920,Landing,0,Other
Tanzania,1920,Takeoff,0,Technical failure
United States of America,1920,Landing,0,Other
United States of America,1920,Flight,0,Other
Mexico,1920,Flight,0,Technical failure
Zimbabwe,1920,Landing,0,Other
Switzerland,1920,Flight,0,Other
Spain,1920,Flight,0,Other
United States of America,1920,Flight,1,Human factor
United Kingdom,1920,Flight,0,Technical failure
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Takeoff,0,Technical failure
Egypt,1920,Takeoff,0,Other
United States of America,1920,Landing,1,Human factor
United Kingdom,1920,Flight,0,Technical failure
Sudan,1920,Flight,4,Other
United States of America,1920,Flight,1,Technical failure
United States of America,1920,Takeoff,1,Other
Spain,1920,Landing,0,Other
United Kingdom,1920,Takeoff,0,Other
United Kingdom,1920,Flight,0,Other
United States of America,1920,Flight,0,Human factor
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Flight,0,Other
World,1920,Flight,1,Other
Colombia,1920,Takeoff,1,Weather
United Kingdom,1920,Takeoff,4,Other
United Kingdom,1920,Takeoff,0,Other
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Flight,1,Human factor
United States of America,1920,Landing,0,Human factor
Spain,1920,Flight,0,Other
United States of America,1920,Landing,0,Other
United States of America,1920,Takeoff,0,Other
Switzerland,1920,Flight,2,Technical failure
United States of America,1920,Flight,0,Human factor
United States of America,1920,Flight,0,Other
Germany,1920,Flight,1,Other
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Takeoff,1,Technical failure
United States of America,1920,Takeoff,0,Other
United States of America,1920,Landing,0,Other
United Kingdom,1920,Flight,0,Technical failure
United States of America,1920,Takeoff,0,Other
United States of America,1920,Flight,0,Technical failure
United Kingdom,1920,Landing,3,Technical failure
Sweden,1920,Takeoff,0,Human factor
Indonesia,1920,Landing,0,Other
United Kingdom,1920,Takeoff,0,Other
Cuba,1920,Takeoff,2,Other
United States of America,1920,Flight,2,Other
United States of America,1920,Flight,0,Other
United States of America,1920,,0,Other
United Kingdom,1920,Flight,0,Technical failure
Norway,1920,Takeoff,0,Weather
United Kingdom,1920,Takeoff,2,Other
United States of America,1920,Landing,0,Other
Colombia,1920,Takeoff,2,Human factor
United Kingdom,1920,Takeoff,0,Other
Sweden,1920,Flight,0,Technical failure
United Kingdom,1920,Landing,0,Technical failure
United Kingdom,1920,Landing,0,Technical failure
United States of America,1920,Flight,0,Other
United Kingdom,1920,Takeoff,2,Other
Philippines,1920,Flight,0,Technical failure
Canada,1920,Takeoff,0,Other
United Kingdom,1920,Takeoff,0,Technical failure
United Kingdom,1920,Flight,1,Other
United States of America,1920,Takeoff,1,Human factor
Spain,1920,,0,Other
United Kingdom,1920,Takeoff,0,Other
United States of America,1920,Flight,0,Other
United Kingdom,1920,Landing,0,Other
Canada,1920,,0,Other
Sweden,1920,Flight,2,Other
Canada,1920,Landing,0,Other
Switzerland,1920,Flight,0,Other
Switzerland,1920,Flight,1,Other
United States of America,1920,Flight,2,Technical failure
United States of America,1920,Takeoff,1,Technical failure
Switzerland,1920,Flight,2,Other
Switzerland,1920,Flight,2,Other
Canada,1920,Flight,0,Other
France,1920,Flight,0,Other
United States of America,1920,Flight,2,Technical failure
United States of America,1920,Landing,1,Other
United States of America,1920,Takeoff,0,Other
Canada,1920,Flight,0,Other
United Kingdom,1920,Flight,0,Other
Norway,1920,Flight,0,Technical failure
United Kingdom,1920,Takeoff,6,Other
United States of America,1920,Flight,1,Human factor
United Kingdom,1920,,0,Other
Canada,1920,,0,Other
France,1920,Flight,2,Other
Spain,1920,Flight,2,Other
United Kingdom,1920,Flight,0,Other
Canada,1920,Flight,0,Other
United States of America,1920,Flight,1,Human factor
Sweden,1920,Takeoff,0,Technical failure
United States of America,1920,Flight,1,Human factor
France,1920,Landing,0,Other
New Zealand,1920,Landing,3,Other
United States of America,1920,Landing,0,Other
United States of America,1920,Landing,0,Other
United States of America,1920,,0,Other
Canada,1920,Flight,0,Other
Brazil,1920,Flight,1,Other
United States of America,1920,,0,Other
United States of America,1920,Landing,0,Other
United Kingdom,1920,Takeoff,4,Human factor
United Kingdom,1920,Takeoff,0,Other
Spain,1920,Takeoff,1,Technical failure
France,1920,,0,Other
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Flight,0,Technical failure
Canada,1921,Takeoff,0,Other
United States of America,1921,Flight,2,Technical failure
United States of America,1921,Flight,0,Technical failure
United States of America,1921,Takeoff,0,Other
United States of America,1921,Flight,0,Technical failure
France,1921,,0,Other
Norway,1921,Flight,0,Technical failure
United Kingdom,1921,Flight,1,Human factor
Germany,1921,Flight,0,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,1,Technical failure
United States of America,1921,,0,Other
United States of America,1921,Landing,0,Other
Indonesia,1921,Flight,1,Human factor
United States of America,1921,Flight,3,Technical failure
United States of America,1921,Flight,0,Technical failure
United Kingdom,1921,Flight,2,Weather
Poland,1921,Flight,2,Human factor
Brazil,1921,Flight,1,Other
United States of America,1921,Takeoff,0,Human factor
Canada,1921,Flight,0,Technical failure
Iraq,1921,Flight,0,Technical failure
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,1,Human factor
France,1921,Flight,1,Other
United Kingdom,1921,Landing,1,Other
United Kingdom,1921,Takeoff,0,Other
Italy,1921,Takeoff,0,Other
United Kingdom,1921,Flight,1,Human factor
Canada,1921,Flight,0,Other
United Kingdom,1921,Flight,2,Technical failure
